strain,clade_membership,mutational_fitness
USA/IL-CDC-LC0275126/2021,21J (Delta),1.23
DJI/NAMRU3_D334/2021,21J (Delta),1.23
USA/NH-CDC-QDX28697139/2021,21J (Delta),1.24
IND/Barcode38MN908947.3/2021,20A,0.94
IND/Barcode29MN908947.3/2021,20A,0.78
IND/398MN908947.3/2021,21A (Delta),0.78
IND/Barcode47MN908947.3/2021,21A (Delta),0.99
IND/Barcode30MN908947.3/2021,21A (Delta),0.99
IND/374MN908947.3/2021,21A (Delta),1
IND/Barcode12MN908947.3/2021,21A (Delta),0.91
IND/Barcode06MN908947.3/2021,21A (Delta),0.88
IND/Barcode44MN908947.3/2021,21A (Delta),0.91
IND/384MN908947.3/2021,21A (Delta),1.04
KEN/SS2467/2021,21A (Delta),1.1
IND/402MN908947.3/2021,21I (Delta),1.05
IND/Barcode31MN908947.3/2021,21I (Delta),0.91
NZL/21MV1544/2021,21J (Delta),1.19
NZL/21MV1528/2021,21J (Delta),1.19
NZL/21MV1543/2021,21J (Delta),1.19
IND/400MN908947.3/2021,21J (Delta),1.11
IND/388MN908947.3/2021,21J (Delta),1.08
IND/Barcode26MN908947.3/2021,21J (Delta),1.13
IND/Barcode33MN908947.3/2021,21J (Delta),1.03
IND/375MN908947.3/2021,21J (Delta),1.17
IND/373MN908947.3/2021,21J (Delta),1.17
OV301118,21J (Delta),1.19
AUT/SKV-251/2021,21J (Delta),1.23
IND/391MN908947.3/2021,21J (Delta),1.14
IND/barcode_22_MN908947.3/2021,21J (Delta),1.09
IND/Barcode40MN908947.3/2021,21J (Delta),1.12
IND/barcode_19_MN908947.3/2021,21J (Delta),1.04
IND/399MN908947.3/2021,21J (Delta),1.12
IND/396MN908947.3/2021,21J (Delta),1.12
OV264490,21J (Delta),1.24
NZL/21MV1555/2021,21J (Delta),1.22
NZL/21MV1524/2021,21J (Delta),1.22
NZL/21MV1556/2021,21J (Delta),1.21
NZL/21MV1548/2021,21J (Delta),1.22
NZL/21MV1541/2021,21J (Delta),1.25
NZL/21MV1540/2021,21J (Delta),1.25
NZL/21MV1542/2021,21J (Delta),1.22
NZL/21MV1550/2021,21J (Delta),1.21
NZL/21MV1554/2021,21J (Delta),1.22
NZL/21MV1552/2021,21J (Delta),1.22
NZL/21MV1527/2021,21J (Delta),1.22
NZL/21MV1549/2021,21J (Delta),1.22
NZL/21MV1526/2021,21J (Delta),1.22
NZL/21MV1558/2021,21J (Delta),1.17
NZL/21MV1529/2021,21J (Delta),1.21
NZL/21MV1530/2021,21J (Delta),1.22
NZL/21MV1536/2021,21J (Delta),1.22
NZL/21MV1557/2021,21J (Delta),1.22
NZL/21MV1508/2021,21J (Delta),1.22
NZL/21MV1545/2021,21J (Delta),1.22
NZL/21MV1507/2021,21J (Delta),1.22
NZL/21MV1519/2021,21J (Delta),1.22
NZL/21MV1511/2021,21J (Delta),1.22
NZL/21MV1515/2021,21J (Delta),1.22
NZL/21MV1514/2021,21J (Delta),1.22
NZL/21MV1559/2021,21J (Delta),1.22
NZL/21MV1513/2021,21J (Delta),1.22
NZL/21MV1538/2021,21J (Delta),1.22
NZL/21MV1546/2021,21J (Delta),1.22
NZL/21MV1518/2021,21J (Delta),1.22
NZL/21MV1539/2021,21J (Delta),1.22
NZL/21MV1516/2021,21J (Delta),1.22
NZL/21MV1517/2021,21J (Delta),1.22
NZL/21MV1553/2021,21J (Delta),1.22
NZL/21MV1551/2021,21J (Delta),1.22
NZL/21MV1512/2021,21J (Delta),1.22
IND/387MN908947.3/2021,21J (Delta),1.11
SYC/SS3524/2021,21J (Delta),1.23
IND/barcode_14_MN908947.3/2021,21J (Delta),1.11
IND/Barcode23MN908947.3/2021,21J (Delta),1.11
IND/Barcode04MN908947.3/2021,21J (Delta),0.95
IND/Barcode13MN908947.3/2021,21J (Delta),0.96
IND/Barcode10MN908947.3/2021,21J (Delta),1.06
IND/Barcode35MN908947.3/2021,21J (Delta),1.1
IND/Barcode02MN908947.3/2021,21J (Delta),1.08
IND/Barcode09MN908947.3/2021,21J (Delta),1
IND/barcode_15_MN908947.3/2021,21J (Delta),1.06
IND/barcode_16_MN908947.3/2021,21J (Delta),1
USA/IL-CDC-ASC210142239/2021,21J (Delta),1.21
IND/403MN908947.3/2021,21J (Delta),0.98
USA/AL-CDC-ASC210143691/2021,21J (Delta),1.17
IND/401MN908947.3/2021,21J (Delta),1.13
Scotland/QEUH-1E23789/2021,21J (Delta),1.26
NZL/21MV1560/2021,21J (Delta),1.19
THA/AFRIMS-COV6628/2021,21J (Delta),1.24
NZL/21MV1562/2021,21J (Delta),1.21
NZL/21MV1570/2021,21J (Delta),1.21
NZL/21MV1565/2021,21J (Delta),1.21
NZL/21MV1535/2021,21J (Delta),1.22
NZL/21MV1510/2021,21J (Delta),1.22
NZL/21MV1509/2021,21J (Delta),1.22
NZL/21MV1591/2021,21J (Delta),1.22
NZL/21MV1590/2021,21J (Delta),1.22
NZL/21MV1561/2021,21J (Delta),1.17
NZL/21MV1534/2021,21J (Delta),1.22
NZL/21MV1564/2021,21J (Delta),1.22
NZL/21MV1531/2021,21J (Delta),1.22
NZL/21MV1533/2021,21J (Delta),1.22
SYC/SS3532/2021,21J (Delta),1.23
SYC/SS3530/2021,21J (Delta),1.2
USA/DC-DFS-PHL-01729/2021,21J (Delta),1.28
AUT/SKV-252/2021,21J (Delta),1.19
Switzerland/BE-ETHZ-34075298/2021,21J (Delta),1.19
USA/TN-CDC-ASC210407600/2021,21J (Delta),1.16
USA/KY-CDC-LC0294729/2021,21J (Delta),1.19
NZL/21CV0458/2021,21J (Delta),1.21
NZL/21CV0451/2021,21J (Delta),1.21
NZL/21CV0456/2021,21J (Delta),1.22
NZL/21MV1584/2021,21J (Delta),1.22
NZL/21MV1585/2021,21J (Delta),1.22
NZL/21MV1587/2021,21J (Delta),1.22
NZL/21MV1582/2021,21J (Delta),1.22
NZL/21MV1583/2021,21J (Delta),1.22
NZL/21CV0471/2021,21J (Delta),1.21
NZL/21MV1588/2021,21J (Delta),1.22
NZL/21CV0449/2021,21J (Delta),1.22
NZL/21MV1576/2021,21J (Delta),1.22
NZL/21MV1578/2021,21J (Delta),1.22
NZL/21CV0444/2021,21J (Delta),1.26
USA/MN-CDC-IBX093569327329/2021,21J (Delta),1.16
SYC/SS3535/2021,21J (Delta),1.2
NZL/21CV0445/2021,21J (Delta),1.23
USA/NH-CDC-LC0272842/2021,21J (Delta),1.2
England/QEUH-1E4A0DC/2021,21J (Delta),1.25
MWI/MLW00096/2021,"20H (Beta, V2)",0.63
KEN/SS2482/2021,21A (Delta),1.11
SYC/SS3539/2021,21I (Delta),1.16
USA/GA-GPHL-2298/2021,21I (Delta),1.13
OU957778,21I (Delta),1.12
OU957669,21J (Delta),1.14
THA/AFRIMS-COV6700/2021,21J (Delta),1.27
USA/IA-CDC-LC0294832/2021,21J (Delta),1.21
USA/AR-UMGC-17770/2021,21J (Delta),1.2
USA/GA-CDC-MMB10406301/2021,21J (Delta),1.2
USA/AL-UAB-GX1479/2021,21J (Delta),1.21
USA/NJ-CDC-LC0276895/2021,21J (Delta),1.27
USA/AR-UMGC-16980/2021,21J (Delta),1.23
USA/PA-CDC-QDX28740874/2021,21J (Delta),1.19
KEN/SS2750/2021,21J (Delta),1.25
USA/MP-CDC-2-5097414/2021,21J (Delta),1.22
NZL/21CV0466/2021,21J (Delta),1.21
NZL/21CV0463/2021,21J (Delta),1.22
NZL/21CV0474/2021,21J (Delta),1.22
NZL/21CV0473/2021,21J (Delta),1.22
NZL/21CV0475/2021,21J (Delta),1.22
NZL/21CV0455/2021,21J (Delta),1.22
NZL/21CV0454/2021,21J (Delta),1.22
NZL/21CV0478/2021,21J (Delta),1.22
NZL/21CV0476/2021,21J (Delta),1.22
NZL/21CV0477/2021,21J (Delta),1.22
NZL/21CV0569/2021,21J (Delta),1.22
SYC/SS3541/2021,21J (Delta),1.23
USA/OKPHLCOV0005825/2021,21J (Delta),1.16
USA/WI-CDC-LC0296295/2021,21J (Delta),1.2
Switzerland/VD-CHUV-GEN7113/2021,21J (Delta),1.2
PAK/226555/2021,21J (Delta),1.23
KEN/SS2484/2021,21A (Delta),1.11
SYC/SS3548/2021,21I (Delta),1.16
Switzerland/VD-ETHZ-34082641/2021,21J (Delta),1.24
Canislupusfamiliaris/THA/CU27791/2021,21J (Delta),1.38
USA/AK-PHL13572/2021,21J (Delta),1.11
SYC/SS3544/2021,21J (Delta),1.31
OU957910,21J (Delta),1.21
NZL/21CV0489/2021,21J (Delta),1.21
NZL/21CV0490/2021,21J (Delta),1.21
NZL/21CV0492/2021,21J (Delta),1.21
NZL/21CV0491/2021,21J (Delta),1.21
NZL/21CV0487/2021,21J (Delta),1.21
NZL/21CV0488/2021,21J (Delta),1.21
NZL/21CV0461/2021,21J (Delta),1.22
NZL/21MV1608/2021,21J (Delta),1.22
NZL/21CV0469/2021,21J (Delta),1.22
NZL/21CV0468/2021,21J (Delta),1.22
NZL/21CV0480/2021,21J (Delta),1.22
NZL/21CV0479/2021,21J (Delta),1.22
KEN/C108996/2021,21J (Delta),1.27
Switzerland/SO-ETHZ-34111312/2021,21J (Delta),1.16
OU957502,21J (Delta),1.15
SYC/SS3545/2021,21J (Delta),1.19
OV301760,21J (Delta),1.18
USA/GU-CDC-2-5097549/2021,21J (Delta),1.2
SYC/SS3546/2021,21J (Delta),1.2
Switzerland/BL-ETHZ-34100934/2021,21J (Delta),1.19
KEN/SS2486/2021,21J (Delta),1.2
PAK/UOL-IMBB-King_Khalid_University25/2021,21A (Delta),1.14
THA/AFRIMS-COV6851/2021,21A (Delta),1.27
NZL/21MV1618/2021,21A (Delta),1.1
KEN/SS3671/2021,21A (Delta),1.12
KEN/SS3656/2021,21A (Delta),1.14
KEN/SS2743/2021,21A (Delta),1.12
KEN/SS3670/2021,21A (Delta),1.12
BHR/342594474_S39_L001/2021,21I (Delta),1.06
BHR/970528686_S95_L001/2021,21I (Delta),1.07
OU957820,21J (Delta),1.15
OU957691,21J (Delta),1.15
Switzerland/SG-ETHZ-671211/2021,21J (Delta),1.15
NZL/21MV1617/2021,21J (Delta),1.19
NZL/21MV1645/2021,21J (Delta),1.19
NZL/21MV1619/2021,21J (Delta),1.19
OV302442,21J (Delta),1.2
PAK/UOL-IMBB-King_Khalid_University21/2021,21J (Delta),1.15
USA/ND-CDC-2-4954801/2021,21J (Delta),1.19
SYC/SS3551/2021,21J (Delta),1.16
PAK/UOL-IMBB-King_Khalid_University23/2021,21J (Delta),1.24
USA/IN-CDC-LC0283443/2021,21J (Delta),1.23
NZL/21MV1620/2021,21J (Delta),1.21
NZL/21CV0494/2021,21J (Delta),1.22
NZL/21MV1603/2021,21J (Delta),1.22
NZL/21MV1607/2021,21J (Delta),1.22
NZL/21MV1611/2021,21J (Delta),1.22
NZL/21CV0483/2021,21J (Delta),1.23
NZL/21MV1610/2021,21J (Delta),1.21
NZL/21MV1605/2021,21J (Delta),1.22
NZL/21CV0482/2021,21J (Delta),1.22
NZL/21MV1609/2021,21J (Delta),1.22
SYC/SS3558/2021,21J (Delta),1.22
SYC/SS3564/2021,21J (Delta),1.18
USA/SC-CDC-LC0278283/2021,21J (Delta),1.19
SYC/SS3562/2021,21J (Delta),1.2
USA/NV-CDC-LC0302498/2021,21J (Delta),1.17
KEN/SS3662/2021,21J (Delta),1.19
KEN/SS3675/2021,21J (Delta),1.19
OV302113,21J (Delta),1.23
England/MILK-1EA157A/2021,21J (Delta),1.27
KEN/SS3684/2021,21A (Delta),1.11
KEN/SS3685/2021,21A (Delta),1.12
BHR/921533245_S21_L001/2021,21I (Delta),1.08
SYC/SS3580/2021,21I (Delta),1.16
USA/VA-DCLS-10024/2021,21I (Delta),1.16
DJI/NAMRU3_D477/2021,21I (Delta),1.21
BHR/21921534517_S10_L001/2021,21I (Delta),1.17
BHR/90028270_S101_L001/2021,21I (Delta),1.04
NZL/21CV0502/2021,21J (Delta),1.19
USA/NM-UNM-TC2021197249/2021,21J (Delta),1.22
BHR/921532620_S24_L001/2021,21J (Delta),1.13
DJI/NAMRU3_D470/2021,21J (Delta),1.23
DJI/NAMRU3_D449/2021,21J (Delta),1.25
AUT/SKV-253/2021,21J (Delta),1.24
USA/LA-CDC-QDX29010938/2021,21J (Delta),1.29
DJI/NAMRU3_D464/2021,21J (Delta),1.23
BHR/21490070538_S96_L001/2021,21J (Delta),1.14
USA/FL-CDC-STM-000732088/2021,21J (Delta),1.22
OU957944,21J (Delta),1.26
NZL/21CV0496/2021,21J (Delta),1.21
NZL/21MV1625/2021,21J (Delta),1.22
NZL/21CV0503/2021,21J (Delta),1.22
NZL/21MV1621/2021,21J (Delta),1.22
NZL/21CV0564/2021,21J (Delta),1.21
NZL/21MV1623/2021,21J (Delta),1.22
NZL/21MV1622/2021,21J (Delta),1.22
NZL/21MV1628/2021,21J (Delta),1.22
NZL/21MV1627/2021,21J (Delta),1.22
SYC/SS3578/2021,21J (Delta),1.23
SYC/SS3574/2021,21J (Delta),1.23
SYC/SS3576/2021,21J (Delta),1.23
BHR/21342596707_S35_L001/2021,21J (Delta),1.1
BHR/342594684_S99_L001/2021,21J (Delta),1.1
SYC/SS3583/2021,21J (Delta),1.2
KEN/SS2745/2021,21J (Delta),1.2
KEN/SS3681/2021,21J (Delta),1.18
England/MILK-1E9B6CB/2021,21J (Delta),1.32
Wales/ALDP-1ECFF2D/2021,21J (Delta),1.25
KEN/SS3695/2021,21A (Delta),1.12
KEN/SS3702/2021,21I (Delta),1.15
OU957610,21I (Delta),1.09
OU965883,21J (Delta),1.19
BHR/21921537341_S76_L001/2021,21J (Delta),1.13
USA/AZ-CDC-ASC210281311/2021,21J (Delta),1.1
AUT/SKV-257/2021,21J (Delta),1.17
AUT/SKV-254/2021,21J (Delta),1.22
AUT/SKV-256/2021,21J (Delta),1.23
USA/SRL_330873947/2021,21J (Delta),1.19
USA/SD-CDC-IBX331330919364/2021,21J (Delta),1.16
USA/WV-CDC-LC0304861/2021,21J (Delta),1.2
KEN/SS3690/2021,21J (Delta),1.25
NZL/21MV1598/2021,21J (Delta),1.23
NZL/21MV1636/2021,21J (Delta),1.21
NZL/21CV0509/2021,21J (Delta),1.21
NZL/21CV0517/2021,21J (Delta),1.21
NZL/21CV0518/2021,21J (Delta),1.21
NZL/21CV0508/2021,21J (Delta),1.21
NZL/21CV0516/2021,21J (Delta),1.21
NZL/21CV0514/2021,21J (Delta),1.22
NZL/21CV0507/2021,21J (Delta),1.22
NZL/21MV1633/2021,21J (Delta),1.22
NZL/21MV1630/2021,21J (Delta),1.22
NZL/21CV0512/2021,21J (Delta),1.22
NZL/21CV0511/2021,21J (Delta),1.22
NZL/21CV0510/2021,21J (Delta),1.22
NZL/21MV1614/2021,21J (Delta),1.22
NZL/21MV1629/2021,21J (Delta),1.22
NZL/21CV0567/2021,21J (Delta),1.22
NZL/21MV1635/2021,21J (Delta),1.22
NZL/21MV1632/2021,21J (Delta),1.22
SYC/SS3586/2021,21J (Delta),1.23
SYC/SS3588/2021,21J (Delta),1.23
BHR/21921539642_S54_L001/2021,21J (Delta),1.1
KEN/SS3697/2021,21J (Delta),1.19
KEN/SS3078/2021,21J (Delta),1.2
BHR/21921541485_S110_L001/2021,21A (Delta),0.98
OU958012,21I (Delta),1.13
BHR/21921541600_S112_L001/2021,21I (Delta),1.18
OU957405,21J (Delta),1.15
Switzerland/GR-Risch-2192002991/2021,21J (Delta),1.22
THA/AFRIMS-COV6950/2021,21J (Delta),1.19
DJI/NAMRU3_D402/2021,21J (Delta),1.24
Switzerland/GE-HUG-35420290/2021,21J (Delta),1.16
NZL/21MV1667/2021,21J (Delta),1.21
NZL/21MV1661/2021,21J (Delta),1.21
NZL/21CV0521/2021,21J (Delta),1.21
NZL/21MV1637/2021,21J (Delta),1.21
NZL/21MV1639/2021,21J (Delta),1.22
NZL/21MV1638/2021,21J (Delta),1.22
SYC/SS3589/2021,21J (Delta),1.2
BHR/21921541580_S111_L001/2021,21J (Delta),1.13
England/ALDP-1EF1274/2021,21J (Delta),1.25
England/PLYM-1EC80C7/2021,21J (Delta),1.25
THA/SG210-ET-P1/2021,21A (Delta),1.29
KEN/SS3705/2021,21I (Delta),1.16
AUT/SKV-258/2021,21J (Delta),1.23
AUT/SKV-259/2021,21J (Delta),1.23
USA/UT-CDC-ASC210326405/2021,21J (Delta),1.17
Switzerland/ZH-UZH-IMV-3ba5128c/2021,21J (Delta),1.25
NZL/21MV1669/2021,21J (Delta),1.23
NZL/21MV1642/2021,21J (Delta),1.23
NZL/21MV1668/2021,21J (Delta),1.23
NZL/21MV1670/2021,21J (Delta),1.23
NZL/21CV0529/2021,21J (Delta),1.21
NZL/21CV0526/2021,21J (Delta),1.21
NZL/21CV0536/2021,21J (Delta),1.22
NZL/21CV0528/2021,21J (Delta),1.22
NZL/21MV1643/2021,21J (Delta),1.22
NZL/21MV1654/2021,21J (Delta),1.22
NZL/21CV0527/2021,21J (Delta),1.22
NZL/21MV1644/2021,21J (Delta),1.22
NZL/21CV0525/2021,21J (Delta),1.22
KEN/SS3707/2021,21J (Delta),1.18
KEN/SS3708/2021,21A (Delta),1.12
USA/MP-CDC-2-4972362/2021,21I (Delta),1.21
SYC/SS3593/2021,21I (Delta),1.16
OV311863,21I (Delta),1.16
USA/MI-CDC-ASC210330646/2021,21I (Delta),1.17
OU957914,21J (Delta),1.16
THA/AFRIMS-COV6994/2021,21J (Delta),1.24
DJI/NAMRU3_SOTFEA_72/2021,21J (Delta),1.23
PAK/231619/2021,21J (Delta),1.23
USA/IA-CDC-ASC210328178/2021,21J (Delta),1.24
USA/KS-CDC-ASC210089573/2021,21J (Delta),1.16
OV312170,21J (Delta),1.24
PAK/231501/2021,21J (Delta),1.24
USA/IN-CDC-ASC210328619/2021,21J (Delta),1.18
NZL/21CV0549/2021,21J (Delta),1.23
NZL/21MV1672/2021,21J (Delta),1.21
NZL/21CV0557/2021,21J (Delta),1.21
NZL/21CV0559/2021,21J (Delta),1.21
NZL/21CV0550/2021,21J (Delta),1.22
NZL/21CV0533/2021,21J (Delta),1.22
NZL/21CV0547/2021,21J (Delta),1.22
NZL/21CV0532/2021,21J (Delta),1.22
NZL/21CV0540/2021,21J (Delta),1.21
NZL/21CV0524/2021,21J (Delta),1.21
NZL/21CV0522/2021,21J (Delta),1.21
NZL/21CV0539/2021,21J (Delta),1.21
NZL/21CV0530/2021,21J (Delta),1.21
NZL/21CV0523/2021,21J (Delta),1.21
NZL/21CV0556/2021,21J (Delta),1.22
NZL/21CV0561/2021,21J (Delta),1.22
NZL/21CV0551/2021,21J (Delta),1.22
NZL/21CV0554/2021,21J (Delta),1.22
USA/CT-CDC-QDX29041424/2021,21J (Delta),1.18
Liechtenstein/FL-Risch-2192206883/2021,21J (Delta),1.21
Switzerland/BE-Risch-2192005947/2021,21J (Delta),1.26
England/HSLL-1EEBDA9/2021,21J (Delta),1.27
England/NEWC-1F3E474/2021,21J (Delta),1.25
NZL/21CV0574/2021,21A (Delta),1.11
KEN/SS3716/2021,21A (Delta),1.16
PAK/232560/2021,21I (Delta),1.18
AUT/SKV-264/2021,21J (Delta),1.24
Liechtenstein/FL-Risch-2192000512/2021,21J (Delta),1.19
AUT/SKV-263/2021,21J (Delta),1.23
OU957633,21J (Delta),1.2
AUT/SKV-265/2021,21J (Delta),1.23
NZL/21CV0586/2021,21J (Delta),1.23
NZL/21CV0575/2021,21J (Delta),1.21
NZL/21CV0572/2021,21J (Delta),1.22
NZL/21CV0573/2021,21J (Delta),1.22
NZL/21CV0544/2021,21J (Delta),1.22
NZL/21CV0541/2021,21J (Delta),1.22
NZL/21CV0587/2021,21J (Delta),1.22
NZL/21CV0542/2021,21J (Delta),1.22
NZL/21CV0545/2021,21J (Delta),1.22
NZL/21CV0543/2021,21J (Delta),1.22
NZL/21CV0563/2021,21J (Delta),1.21
NZL/21CV0580/2021,21J (Delta),1.21
NZL/21CV0579/2021,21J (Delta),1.21
NZL/21CV0585/2021,21J (Delta),1.22
NZL/21CV0583/2021,21J (Delta),1.22
NZL/21CV0584/2021,21J (Delta),1.22
NZL/21MV1683/2021,21J (Delta),1.22
NZL/21MV1690/2021,21J (Delta),1.22
SYC/SS3601/2021,21J (Delta),1.23
USA/DE-CDC-LC0290489/2021,21J (Delta),1.19
USA/WV-CDC-LC0313457/2021,21J (Delta),1.31
DJI/NAMRU3_D570/2021,21J (Delta),1.23
DJI/NAMRU3_D606/2021,21J (Delta),1.23
KEN/SS3717/2021,21J (Delta),1.21
England/NEWC-1F105A2/2021,21J (Delta),1.33
BGD/Laila_364/2021,21A (Delta),1.08
BGD/Laila_373/2021,21A (Delta),1.05
KEN/C109501/2021,21A (Delta),1.09
BGD/Laila_385/2021,21A (Delta),0.99
PAK/233372/2021,21I (Delta),1.18
BGD/Laila_377/2021,21I (Delta),1.13
BGD/Laila_370/2021,21I (Delta),1.13
BGD/Laila_362/2021,21I (Delta),1.13
THA/AFRIMS-COV7098/2021,21J (Delta),1.19
AUT/SKV-266/2021,21J (Delta),1.23
BGD/Laila_367/2021,21J (Delta),1.16
OU964346,21J (Delta),1.19
DJI/NAMRU3_E43/2021,21J (Delta),1.2
USA/CA-CDC-ASC210334044/2021,21J (Delta),1.56
NZL/21CV0590/2021,21J (Delta),1.21
NZL/21MV1681/2021,21J (Delta),1.21
NZL/21MV1678/2021,21J (Delta),1.21
NZL/21MV1680/2021,21J (Delta),1.21
NZL/21MV1677/2021,21J (Delta),1.21
NZL/21CV0576/2021,21J (Delta),1.22
NZL/21MV1679/2021,21J (Delta),1.21
NZL/21CV0578/2021,21J (Delta),1.23
NZL/21MV1686/2021,21J (Delta),1.22
NZL/21MV1687/2021,21J (Delta),1.22
NZL/21MV1688/2021,21J (Delta),1.22
NZL/21MV1685/2021,21J (Delta),1.22
NZL/21MV1684/2021,21J (Delta),1.22
SYC/SS3613/2021,21J (Delta),1.23
SYC/SS3616/2021,21J (Delta),1.17
SYC/SS3608/2021,21J (Delta),1.27
BGD/Laila_369/2021,21J (Delta),1.15
BGD/Laila_368/2021,21J (Delta),1.21
USA/OR-CDC-LC0314077/2021,21J (Delta),1.19
BGD/Laila_375/2021,21J (Delta),1.19
BGD/Laila_376/2021,21J (Delta),1.17
SYC/SS3618/2021,21J (Delta),1.19
BGD/Laila_365/2021,21J (Delta),1.2
PAK/233414/2021,21J (Delta),1.21
DJI/NAMRU3_E65/2021,21J (Delta),1.23
England/MILK-1F423BC/2021,21J (Delta),1.26
KEN/SS3765/2021,"20I (Alpha, V1)",0.74
Switzerland/LU-UHB-43075101/2021,21J (Delta),1.16
USA/PR-CDC-ASC210317089/2021,21J (Delta),1.23
USA/VI-CDC-ASC210335581/2021,21J (Delta),1.22
USA/MD-CDC-MMB10661775/2021,21J (Delta),1.24
NZL/21MV1675/2021,21J (Delta),1.21
NZL/21MV1674/2021,21J (Delta),1.21
NZL/21MV1691/2021,21J (Delta),1.22
NZL/21MV1692/2021,21J (Delta),1.22
NZL/21MV1682/2021,21J (Delta),1.22
NZL/21MV1689/2021,21J (Delta),1.22
SYC/SS3625/2021,21J (Delta),1.23
AUT/SKV-267/2021,21J (Delta),1.2
SYC/SS3627/2021,21J (Delta),1.2
SYC/SS3631/2021,21J (Delta),1.23
SYC/SS3626/2021,21J (Delta),1.23
USA/MN-CDC-ASC210334899/2021,21J (Delta),1.19
USA/MO-CDC-ASC210092116/2021,21J (Delta),1.2
England/QEUH-1F762B2/2021,21J (Delta),1.25
THA/AFRIMS-COV7212/2021,21A (Delta),1.06
Switzerland/SG-ETHZ-671576/2021,21J (Delta),1.16
OU958004,21J (Delta),1.16
Switzerland/ZH-ETHZ-34229541/2021,21J (Delta),1.15
USA/MT-CDC-LC0313512/2021,21J (Delta),1.22
USA/SC-CDC-ASC210374831/2021,21J (Delta),1.2
USA/OR-CDC-LC0313054/2021,21J (Delta),1.2
PAK/234892/2021,21J (Delta),1.19
USA/RI-CDCBI-CRSP_4FILLOQSMKY67BTF/2021,21J (Delta),1.22
NZL/21MV1676/2021,21J (Delta),1.22
NZL/21MV1671/2021,21J (Delta),1.22
SYC/SS3636/2021,21J (Delta),1.2
SYC/SS3634/2021,21J (Delta),1.23
Switzerland/SH-ETHZ-34228890/2021,21J (Delta),1.16
SYC/SS3635/2021,21J (Delta),1.21
SYC/SS3639/2021,21J (Delta),1.24
USA/HI-CDC-QDX29168004/2021,21J (Delta),1.23
OU957928,21J (Delta),1.35
England/ALDP-1F6B0F2/2021,21J (Delta),1.32
England/ALDP-1F6C826/2021,21J (Delta),1.26
IND/539MN908947.3/2021,19A,0.78
IND/557MN908947.3/2021,21A (Delta),1
IND/556MN908947.3/2021,21A (Delta),1
IND/571MN908947.3/2021,21A (Delta),1.01
IND/529MN908947.3/2021,21A (Delta),0.97
THA/AFRIMS-COV7239/2021,21A (Delta),1.09
BHR/21921579560_S105_L001/2021,21A (Delta),0.98
IND/523MN908947.3/2021,21A (Delta),1.01
IND/519MN908947.3/2021,21I (Delta),1.05
IND/569MN908947.3/2021,21I (Delta),1.06
IND/555MN908947.3/2021,21I (Delta),1.06
BHR/21921582302_S126_L001/2021,21I (Delta),1.17
BHR/5901974002_S45_L001/2021,21I (Delta),1.17
BHR/21342615292_S32_L001/2021,21I (Delta),1.17
BHR/21921581824_S123_L001/2021,21I (Delta),1.17
BHR/21342618067_S49_L001/2021,21I (Delta),1.18
BHR/21921582193_S113_L001/2021,21I (Delta),1.18
BHR/21150048829_S90_L001/2021,21I (Delta),1.18
BHR/21921580126_S127_L001/2021,21I (Delta),1.18
BHR/21921540108_S23_L001/2021,21I (Delta),1.18
BHR/21300242549_S102_L001/2021,21I (Delta),1.17
BHR/21921575729_S141_L001/2021,21I (Delta),1.17
BHR/21921586479_S54_L001/2021,21I (Delta),1.17
BHR/21921586356_S60_L001/2021,21I (Delta),1.03
BHR/21280332426_S70_L001/2021,21I (Delta),1.07
BHR/21921584166_S71_L001/2021,21I (Delta),1.04
BHR/21342617267_S39_L001/2021,21I (Delta),1.04
BHR/21921582180_S115_L001/2021,21I (Delta),1.07
BHR/21921577006_S103_L001/2021,21I (Delta),1.07
IND/517MN908947.3/2021,21J (Delta),1.08
IND/533MN908947.3/2021,21J (Delta),1.12
IND/572MN908947.3/2021,21J (Delta),1.19
IND/526MN908947.3/2021,21J (Delta),1.08
IND/528MN908947.3/2021,21J (Delta),1.08
IND/521MN908947.3/2021,21J (Delta),1.12
IND/570MN908947.3/2021,21J (Delta),1.24
USA/DE-CDC-IBX790827310341/2021,21J (Delta),1.16
IND/520MN908947.3/2021,21J (Delta),1.14
BHR/21921540197_S24_L001/2021,21J (Delta),1.14
IND/512MN908947.3/2021,21J (Delta),1.11
IND/542MN908947.3/2021,21J (Delta),1.13
IND/547MN908947.3/2021,21J (Delta),1.11
IND/563MN908947.3/2021,21J (Delta),1.15
IND/510MN908947.3/2021,21J (Delta),1.22
IND/573MN908947.3/2021,21J (Delta),1.12
IND/534MN908947.3/2021,21J (Delta),1.12
USA/NC-CORVASEQ-DH-265M791000004193/2021,21J (Delta),1.19
USA/NV-CDC-QDX29079971/2021,21J (Delta),1.18
BHR/21921580494_S97_L001/2021,21J (Delta),1.16
BHR/21342600314_S27_L001/2021,21J (Delta),1.14
OU965150,21J (Delta),1.15
BHR/21921581237_S132_L001/2021,21J (Delta),1.06
BHR/21921581239_S131_L001/2021,21J (Delta),1.06
BHR/21342617721_S47_L001/2021,21J (Delta),1.13
BHR/21921540267_S20_L001/2021,21J (Delta),1.07
IND/511MN908947.3/2021,21J (Delta),1.19
IND/561MN908947.3/2021,21J (Delta),1.09
BHR/21921587064_S77_L001/2021,21J (Delta),1.09
BHR/21921582932_S84_L001/2021,21J (Delta),1.14
